date,version_name,location_name,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,seir_daily_unscaled_mean,seir_daily_unscaled_lower,seir_daily_unscaled_upper,seir_cumulative_unscaled_mean,seir_cumulative_unscaled_lower,seir_cumulative_unscaled_upper,reff_mean,reff_lower,reff_upper,cumulative_deaths,daily_deaths,cumulative_cases,cumulative_deaths_unscaled,cumulative_hospitalizations,daily_deaths_unscaled,daily_infections,population,mobility_mean,mobility_obs,testing_mean,testing_lower,testing_upper,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,cumulative_all_vaccinated,cumulative_all_fully_vaccinated,cumulative_all_effectively_vaccinated,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,admis_mean,admis_upper,admis_lower,all_bed_capacity,icu_bed_capacity,infection_fatality,infection_detection,infection_hospitalization
2/4/20,reference,Canada,19.87,79.02,1.79,0,0,0,725.74,262.55,2100.97,0,0,0,0,0,0,0,0,0,,,,0,0,7.5,0,230,0,0.38,36519840.27,-9.6586,1,72.6926,72.6926,72.6926,1,1.1553,0,0.0017,1,,,,11.38,34.96,3.51,6.84,21.02,2.11,0.57,1.47,0.18,86460,4048,Inf,0.0145,0.0165
2/5/20,reference,Canada,20.3,79.96,1.6,0.01,0.01,0.02,746.04,268.52,2180.93,0.01,0.01,0.01,0,0,0,0,0,0,,,,0,0,7.88,0,230,0,0.38,36519840.27,-6.6192,1,54.1785,54.1785,54.1785,1,0.807,0,0.002,1,,,,12.77,38.16,3.82,7.68,22.94,2.29,0.55,1.43,0.17,86460,4048,Inf,0.0147,0.0164
2/6/20,reference,Canada,21.12,81.56,1.5,0.03,0.01,0.04,767.16,275.05,2262.49,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,,,,0,0,8.25,0,230,0,0.38,36519840.27,-6.4729,1,57.7619,57.7619,57.7619,1,0.8064,0,0.003,1,,,,13.87,38.96,4.19,8.34,23.43,2.52,0.52,1.4,0.16,86460,4048,Inf,0.0153,0.0163
2/7/20,reference,Canada,22.41,83.86,1.43,0.04,0.02,0.06,789.57,282.4,2346.35,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,,,,0,0,8.62,0,230,0,0.38,36519840.27,-6.3102,1,61.5694,61.5694,61.5694,1,0.8051,0,0.0044,1,,,,14.99,39.67,4.48,9.01,23.85,2.7,0.49,1.37,0.13,86460,4048,Inf,0.0146,0.0163
2/8/20,reference,Canada,24.22,87.07,1.92,0.04,0.02,0.07,813.79,292,2433.42,0,0,0.01,0,0,0,0.02,0.02,0.02,,,,0,0,9,0,230,0,0.38,36519840.27,-6.1295,1,65.617,65.617,65.617,1,0.8038,0,0.0061,1,,,,15.01,40.3,4.45,9.02,24.23,2.68,0.46,1.34,0.1,86460,4048,Inf,0.0129,0.0163
2/9/20,reference,Canada,26.65,91.03,2.62,0.04,0.02,0.07,840.44,303.82,2524.44,0,0,0,0,0,0,0.02,0.02,0.02,,,,0,0,9.12,0,230,0,0.12,36519840.27,-5.9287,1,69.9289,69.9289,69.9289,1,0.8025,0,0.0081,1,,,,14.91,40.55,4.38,8.96,24.39,2.64,0.44,1.31,0.09,86460,4048,Inf,0.0117,0.0164
2/10/20,reference,Canada,29.82,95.67,4.3,0.05,0.02,0.07,870.26,311.22,2620.11,0,0,0,0,0,0,0.02,0.02,0.02,,,,0,0,9.25,0,230,0,0.12,36519840.27,-5.7056,1,74.5394,74.5394,74.5394,1,0.8012,0,0.01,1,,,,14.7,40.77,4.22,8.84,24.51,2.54,0.41,1.29,0.07,86460,4048,0,0.0109,0.0165
2/11/20,reference,Canada,33.91,101.04,7.11,0.05,0.03,0.07,904.17,319.05,2721.15,0,0,0,0,0,0,0.02,0.02,0.02,,,,0,0,9.38,0,230,0,0.12,36519840.27,-5.4578,1,79.4942,79.4942,79.4942,1,0.8,0,0.0118,1,,,,14.4,40.2,3.86,8.66,24.17,2.32,0.39,1.27,0.06,86460,4048,0,0.0107,0.0167
2/12/20,reference,Canada,39.05,107.21,10.84,0.05,0.03,0.07,943.22,330.66,2828.36,0,0,0,0,0,0,0.02,0.02,0.02,,,,0,0,9.5,0,230,0,0.12,36519840.27,-4.4845,1,73.4267,73.4267,73.4267,1,0.6917,0,0.0113,1,,,,14.03,39.49,3.63,8.44,23.75,2.18,0.38,1.26,0.04,86460,4048,0,0.0123,0.017
2/13/20,reference,Canada,45.58,114.55,15.73,0.05,0.03,0.07,988.8,347.27,2942.91,0,0,0,0,0,0,0.02,0.02,0.02,,,,0,0,9.62,0,230,0,0.12,36519840.27,-4.2197,1,78.4781,78.4781,78.4781,1,0.691,0,0.0123,1,,,,13.66,38.84,3.34,8.21,23.36,2.01,0.37,1.25,0.03,86460,4048,0,0.0181,0.0173
